Id,Codigo,Nome,Uf
1,1100015001,Centro - Alta Floresta D'Oeste,RO
2,1100015002,Liberdade - Alta Floresta D'Oeste,RO
3,1100015003,Cidade Alta - Alta Floresta D'Oeste,RO
4,1100015004,Santa Felicidade - Alta Floresta D'Oeste,RO
5,1100015005,Princesa Isabel - Alta Floresta D'Oeste,RO
6,1100015006,Redondo - Alta Floresta D'Oeste,RO
7,1100015007,Tucanos - Alta Floresta D'Oeste,RO
8,1100049001,Centro - Cacoal,RO
9,1100049002,Jardim Clodoaldo - Cacoal,RO
10,1100049003,Princesa Isabel - Cacoal,RO
11,1100049004,Liberdade - Cacoal,RO
12,1100049005,Novo Horizonte - Cacoal,RO
13,1100049006,Novo Cacoal - Cacoal,RO
14,1100049007,Residencial Parque Brizon - Cacoal,RO
15,1100049008,Vilage do Sol - Cacoal,RO
16,1100049009,Saúde - Cacoal,RO
17,1100049010,Teixeirão - Cacoal,RO
18,1100049011,Floresta - Cacoal,RO
19,1100049012,INCRA - Cacoal,RO
20,1100049013,Santo Antônio - Cacoal,RO
21,1100049014,Industrial - Cacoal,RO
22,1100049015,Cristal do Arco-Íris - Cacoal,RO
23,1100049016,Parque Industrial Governador Jerônimo Santana - Cacoal,RO
24,1100049017,Jardim Bandeirantes - Cacoal,RO
25,1100049018,Jardim Vista Alegre - Cacoal,RO
26,1100049019,Conjunto Haley - Cacoal,RO
27,1100049020,Conjunto Habitacional Nova Esperança - Cacoal,RO
28,1100049021,Sociedade Bela Vista - Cacoal,RO
29,1100064001,Centro - Colorado do Oeste,RO
30,1100064002,Cruzeiro - Colorado do Oeste,RO
31,1100064003,Jorge Teixeira - Colorado do Oeste,RO
32,1100064004,Jo Sato - Colorado do Oeste,RO
33,1100064005,Minas Gerais - Colorado do Oeste,RO
34,1100064006,Santa Luzia - Colorado do Oeste,RO
35,1100064007,Odilon Noia - Colorado do Oeste,RO
36,1100064008,São José - Colorado do Oeste,RO
37,1100064009,Mato Grosso - Colorado do Oeste,RO
38,1100064010,Industrial - Colorado do Oeste,RO
39,1100098001,Centro - Espigão D'Oeste,RO
40,1100098002,São José - Espigão D'Oeste,RO
41,1100098003,Morada do Sol - Espigão D'Oeste,RO
42,1100098004,Caixa D'água - Espigão D'Oeste,RO
43,1100098005,Liberdade - Espigão D'Oeste,RO
44,1100098006,Jorge Teixeira de Oliveira - Espigão D'Oeste,RO
45,1100098007,Vista Alegre - Espigão D'Oeste,RO
46,1100098008,Novo Horizonte - Espigão D'Oeste,RO
47,1100098009,Cidade Alta - Espigão D'Oeste,RO
48,1100106001,Triângulo - Guajará-Mirim,RO
49,1100106002,Centro - Guajará-Mirim,RO
50,1100106003,Cristo Rey - Guajará-Mirim,RO
51,1100106005,Tamandaré - Guajará-Mirim,RO
52,1100106006,São José - Guajará-Mirim,RO
53,1100106007,Santa Luzia - Guajará-Mirim,RO
54,1100106008,Dez de Abril - Guajará-Mirim,RO
55,1100106009,Caetano - Guajará-Mirim,RO
56,1100106010,Liberdade - Guajará-Mirim,RO
57,1100106011,Fátima - Guajará-Mirim,RO
58,1100106012,Próspero - Guajará-Mirim,RO
59,1100106014,Serraria - Guajará-Mirim,RO
60,1100106015,Santo Antônio - Guajará-Mirim,RO
61,1100106016,Jardim das Esmeraldas - Guajará-Mirim,RO
62,1100106017,Nossa Senhora Aparecida - Guajará-Mirim,RO
63,1100122001,Santiago - Ji-Paraná,RO
64,1100122002,União - Ji-Paraná,RO
65,1100122003,Centro - Ji-Paraná,RO
66,1100122004,Urupá - Ji-Paraná,RO
67,1100122005,Dois de Abril - Ji-Paraná,RO
68,1100122006,Casa Preta - Ji-Paraná,RO
69,1100122007,Dom Bosco - Ji-Paraná,RO
70,1100122008,São Bernardo - Ji-Paraná,RO
71,1100122009,Jardim Presidencial - Ji-Paraná,RO
72,1100122010,Parque São Pedro - Ji-Paraná,RO
73,1100122011,Jardim dos Migrantes - Ji-Paraná,RO
74,1100122012,Nossa Senhora de Fátima - Ji-Paraná,RO
75,1100122013,Jotão - Ji-Paraná,RO
76,1100122014,Duque de Caxias - Ji-Paraná,RO
77,1100122015,JK - Ji-Paraná,RO
78,1100122016,Jardim das Seringueiras - Ji-Paraná,RO
79,1100122017,Nova Brasília - Ji-Paraná,RO
80,1100122018,Conj. Mário Andreazza - Ji-Paraná,RO
81,1100122019,Riachuelo - Ji-Paraná,RO
82,1100122020,Primavera - Ji-Paraná,RO
83,1100122021,São Pedro - Ji-Paraná,RO
84,1100122022,Coronel Jorge T. de Oliveira - Ji-Paraná,RO
85,1100122023,Valparaíso - Ji-Paraná,RO
86,1100122024,Cafezinho - Ji-Paraná,RO
87,1100122025,Jardim Flórida - Ji-Paraná,RO
88,1100122026,São Francisco - Ji-Paraná,RO
89,1100122027,Alto Alegre - Ji-Paraná,RO
90,1100155001,União - Ouro Preto do Oeste,RO
91,1100155002,Bela Floresta - Ouro Preto do Oeste,RO
92,1100155003,Jardim Bandeirante - Ouro Preto do Oeste,RO
93,1100155004,Nova Ouro Preto - Ouro Preto do Oeste,RO
94,1100155005,Jardim Novo Horizonte - Ouro Preto do Oeste,RO
95,1100155006,Jardim Novo Estado - Ouro Preto do Oeste,RO
96,1100155007,Da Liberdade - Ouro Preto do Oeste,RO
97,1100155008,Alvorada - Ouro Preto do Oeste,RO
98,1100155009,Industrial - Ouro Preto do Oeste,RO
99,1100155010,Jardim Tropical - Ouro Preto do Oeste,RO
100,1100155011,Do Incra - Ouro Preto do Oeste,RO
101,1100155012,Jardim Aeroporto - Ouro Preto do Oeste,RO
102,1100205002,Juscelino Kubitschek - Porto Velho,RO
103,1100205003,Flodoaldo Pontes Pinto - Porto Velho,RO
104,1100205004,Tiradentes - Porto Velho,RO
105,1100205005,Industrial - Porto Velho,RO
106,1100205006,Nova Porto Velho - Porto Velho,RO
107,1100205007,Roque - Porto Velho,RO
108,1100205008,Liberdade - Porto Velho,RO
109,1100205009,São João Bosco - Porto Velho,RO
110,1100205010,São Cristóvão - Porto Velho,RO
111,1100205011,Nossa Senhora das Graças - Porto Velho,RO
112,1100205012,Mato Grosso - Porto Velho,RO
113,1100205014,Tucumanzal - Porto Velho,RO
114,1100205015,Olaria - Porto Velho,RO
115,1100205016,Agricolândia - Porto Velho,RO
116,1100205017,Centro - Porto Velho,RO
117,1100205018,Caiari - Porto Velho,RO
118,1100205019,Santa Bárbara - Porto Velho,RO
119,1100205020,Mocambo - Porto Velho,RO
120,1100205021,Baixa União - Porto Velho,RO
121,1100205022,Quilômetro Um - Porto Velho,RO
122,1100205023,Areal - Porto Velho,RO
123,1100205024,Triângulo - Porto Velho,RO
124,1100205025,Militar - Porto Velho,RO
125,1100205026,Floresta - Porto Velho,RO
126,1100205027,Panair - Porto Velho,RO
127,1100205030,Pedrinhas - Porto Velho,RO
128,1100205031,Embratel - Porto Velho,RO
129,1100205032,Tancredo Neves - Porto Velho,RO
130,1100205033,Tupi - Porto Velho,RO
131,1100205036,Costa e Silva - Porto Velho,RO
132,1100205037,São Sebastião - Porto Velho,RO
133,1100205038,Nacional - Porto Velho,RO
134,1100205039,Lagoa - Porto Velho,RO
135,1100205040,Agenor M. de Carvalho - Porto Velho,RO
136,1100205041,Rio Madeira - Porto Velho,RO
137,1100205042,Eldorado - Porto Velho,RO
138,1100205043,Aeroclube - Porto Velho,RO
139,1100205044,Cohab - Porto Velho,RO
140,1100205045,Castanheira - Porto Velho,RO
141,1100205046,Caladinho - Porto Velho,RO
142,1100205047,Nova Floresta - Porto Velho,RO
143,1100205049,Cidade do Lobo - Porto Velho,RO
144,1100205050,Eletronorte - Porto Velho,RO
145,1100205051,Novo Horizonte - Porto Velho,RO
146,1100205052,Areia Branca - Porto Velho,RO
147,1100205053,Cascalheira - Porto Velho,RO
148,1100205054,Escola de Polícia - Porto Velho,RO
149,1100205055,Teixeirão - Porto Velho,RO
150,1100205056,Planalto - Porto Velho,RO
151,1100205057,Lagoinha - Porto Velho,RO
152,1100205058,Três Marias - Porto Velho,RO
153,1100205059,Cuniã - Porto Velho,RO
154,1100205060,Igarapé - Porto Velho,RO
