Id,Codigo,Nome,Uf
1,1100015,Alta Floresta D'Oeste,RO
2,1100023,Ariquemes,RO
3,1100031,Cabixi,RO
4,1100049,Cacoal,RO
5,1100056,Cerejeiras,RO
6,1100064,Colorado do Oeste,RO
7,1100072,Corumbiara,RO
8,1100080,Costa Marques,RO
9,1100098,Espigão D'Oeste,RO
10,1100106,Guajará-Mirim,RO
11,1100114,Jaru,RO
12,1100122,Ji-Paraná,RO
13,1100130,Machadinho D'Oeste,RO
14,1100148,Nova Brasilândia D'Oeste,RO
15,1100155,Ouro Preto do Oeste,RO
16,1100189,Pimenta Bueno,RO
17,1100205,Porto Velho,RO
18,1100254,Presidente Médici,RO
19,1100262,Rio Crespo,RO
20,1100288,Rolim de Moura,RO
21,1100296,Santa Luzia D'Oeste,RO
22,1100304,Vilhena,RO
23,1100320,São Miguel do Guaporé,RO
24,1100338,Nova Mamoré,RO
25,1100346,Alvorada D'Oeste,RO
26,1100379,Alto Alegre dos Parecis,RO
27,1100403,Alto Paraíso,RO
28,1100452,Buritis,RO
29,1100502,Novo Horizonte do Oeste,RO
30,1100601,Cacaulândia,RO
31,1100700,Campo Novo de Rondônia,RO
32,1100809,Candeias do Jamari,RO
33,1100908,Castanheiras,RO
34,1100924,Chupinguaia,RO
35,1100940,Cujubim,RO
36,1101005,Governador Jorge Teixeira,RO
37,1101104,Itapuã do Oeste,RO
38,1101203,Ministro Andreazza,RO
39,1101302,Mirante da Serra,RO
40,1101401,Monte Negro,RO
41,1101435,Nova União,RO
42,1101450,Parecis,RO
43,1101468,Pimenteiras do Oeste,RO
44,1101476,Primavera de Rondônia,RO
45,1101484,São Felipe D'Oeste,RO
46,1101492,São Francisco do Guaporé,RO
47,1101500,Seringueiras,RO
48,1101559,Teixeirópolis,RO
49,1101609,Theobroma,RO
50,1101708,Urupá,RO
51,1101757,Vale do Anari,RO
52,1101807,Vale do Paraíso,RO
53,1200013,Acrelândia,AC
54,1200054,Assis Brasil,AC
55,1200104,Brasiléia,AC
56,1200138,Bujari,AC
57,1200179,Capixaba,AC
58,1200203,Cruzeiro do Sul,AC
59,1200252,Epitaciolândia,AC
60,1200302,Feijó,AC
61,1200328,Jordão,AC
62,1200336,Mâncio Lima,AC
63,1200344,Manoel Urbano,AC
64,1200351,Marechal Thaumaturgo,AC
65,1200385,Plácido de Castro,AC
66,1200393,Porto Walter,AC
67,1200401,Rio Branco,AC
68,1200427,Rodrigues Alves,AC
69,1200435,Santa Rosa do Purus,AC
70,1200450,Senador Guiomard,AC
71,1200500,Sena Madureira,AC
72,1200609,Tarauacá,AC
73,1200708,Xapuri,AC
74,1200807,Porto Acre,AC
75,1300029,Alvarães,AM
76,1300060,Amaturá,AM
77,1300086,Anamã,AM
78,1300102,Anori,AM
79,1300144,Apuí,AM
80,1300201,Atalaia do Norte,AM
81,1300300,Autazes,AM
82,1300409,Barcelos,AM
83,1300508,Barreirinha,AM
84,1300607,Benjamin Constant,AM
85,1300631,Beruri,AM
86,1300680,Boa Vista do Ramos,AM
87,1300706,Boca do Acre,AM
88,1300805,Borba,AM
89,1300839,Caapiranga,AM
90,1300904,Canutama,AM
91,1301001,Carauari,AM
92,1301100,Careiro,AM
93,1301159,Careiro da Várzea,AM
94,1301209,Coari,AM
95,1301308,Codajás,AM
96,1301407,Eirunepé,AM
97,1301506,Envira,AM
98,1301605,Fonte Boa,AM
99,1301654,Guajará,AM
100,1301704,Humaitá,AM
101,1301803,Ipixuna,AM
102,1301852,Iranduba,AM
103,1301902,Itacoatiara,AM
104,1301951,Itamarati,AM
105,1302009,Itapiranga,AM
106,1302108,Japurá,AM
107,1302207,Juruá,AM
108,1302306,Jutaí,AM
109,1302405,Lábrea,AM
110,1302504,Manacapuru,AM
111,1302553,Manaquiri,AM
112,1302603,Manaus,AM
113,1302702,Manicoré,AM
114,1302801,Maraã,AM
115,1302900,Maués,AM
116,1303007,Nhamundá,AM
117,1303106,Nova Olinda do Norte,AM
118,1303205,Novo Airão,AM
119,1303304,Novo Aripuanã,AM
120,1303403,Parintins,AM
121,1303502,Pauini,AM
122,1303536,Presidente Figueiredo,AM
123,1303569,Rio Preto da Eva,AM
124,1303601,Santa Isabel do Rio Negro,AM
125,1303700,Santo Antônio do Içá,AM
126,1303809,São Gabriel da Cachoeira,AM
127,1303908,São Paulo de Olivença,AM
128,1303957,São Sebastião do Uatumã,AM
129,1304005,Silves,AM
130,1304062,Tabatinga,AM
131,1304104,Tapauá,AM
132,1304203,Tefé,AM
133,1304237,Tonantins,AM
134,1304260,Uarini,AM
135,1304302,Urucará,AM
136,1304401,Urucurituba,AM
137,1400027,Amajari,RR
138,1400050,Alto Alegre,RR
139,1400100,Boa Vista,RR
140,1400159,Bonfim,RR
141,1400175,Cantá,RR
